"nodes"   "h"            "CDrag"
2128      0.02167774923  1.767299997245217e-02
8352      0.01094220273  1.136296960730182e-02
33088     0.00549749371  1.053186659280251e-02
131712    0.00275541696  1.045452046647522e-02

# Marshall's ref Drag: 2*0.0052162851865257
