%            DOF       Work Units            Error
    1.440000e+02     1.982268e-03     3.513832e-03
    2.040000e+02     9.135155e-03     4.057634e-03
    2.100000e+02     2.007134e-02     2.391244e-03
    2.160000e+02     3.177340e-02     6.906635e-04
    2.160000e+02     4.310835e-02     1.274472e-04
    2.220000e+02     5.290330e-02     1.323069e-04
    2.220000e+02     5.342196e-02     1.323069e-04
    3.300000e+02     6.653639e-02     6.351097e-05
    5.100000e+02     8.527928e-02     1.779136e-05
    7.500000e+02     1.131168e-01     5.590925e-06
    7.920000e+02     1.460434e-01     5.320719e-06
    8.340000e+02     1.840577e-01     4.710538e-06
    8.340000e+02     1.852547e-01     4.710538e-06
    1.140000e+03     2.323763e-01     2.682302e-06
    1.608000e+03     3.046002e-01     1.656964e-06
    2.358000e+03     4.253180e-01     1.096868e-06
    2.904000e+03     5.890243e-01     6.986341e-07
    2.994000e+03     7.797155e-01     5.482316e-07
    2.994000e+03     7.832109e-01     5.482316e-07
    4.746000e+03     1.078194e+00     2.934372e-07
    6.948000e+03     1.515395e+00     2.000465e-07
    9.756000e+03     2.255583e+00     9.828496e-08
    1.171200e+04     3.088316e+00     6.438888e-08
    1.158000e+04     4.019338e+00     5.961302e-08
