%            DOF       Work Units            Error
    1.200000e+03     2.527547e-01     3.948844e-05
    1.725000e+03     6.034290e-01     4.752508e-07
    2.475000e+03     1.172275e+00     8.172832e-08
    3.525000e+03     1.861035e+00     1.627422e-08
    5.100000e+03     2.946935e+00     6.637813e-09
    7.350000e+03     4.586989e+00     2.281982e-09
    1.065000e+04     7.141112e+00     1.121687e-09
    1.537500e+04     1.015035e+01     4.963001e-10
    2.227500e+04     1.478399e+01     2.422314e-10
    3.225000e+04     2.259052e+01     8.448108e-11
    4.672500e+04     3.584757e+01     3.964363e-11
