VARIABLES="DOF", "Cd Error Indicator", "Cd Error Estimate", "Cd", "Cl"
ZONE T="P3 80k"
          3780      1.999318575736e-03     -9.519841062091e-04  6.053779091230E-02  -2.502660520979E-03 
          5550      1.995762756618e-04      2.369658307828e-05  6.110138593383E-02  -1.929353009578E-05 
          7850      3.846695151990e-05      1.684231451107e-05  6.095958457614E-02   2.602410035024E-06 
         10960      3.236698982616e-05     -1.245023990474e-05  6.092033551969E-02   4.758785761805E-05 
         14980      5.875675672653e-06      8.434216179896e-07  6.092911824013E-02   1.394830551891E-04 
         20720      2.302000043811e-06      1.392063338044e-06  6.092813417121E-02   5.026554287701E-05 
         28730      8.474080039088e-07      7.289167964387e-07  6.092529234852E-02   1.313742352160E-05 
         40630      8.495186799453e-07      8.166110352350e-07  6.092457847881E-02   4.642023764923E-05 
         56550      2.429496731088e-07      2.326624332505e-07  6.092339313565E-02   2.685045144446E-06 
         76650      1.570546564179e-07      1.456025559576e-07  6.092308079273E-02   3.267759099312E-06 
         78530      8.448176901330e-08      8.318704717088e-08  6.092298510770E-02   2.293892180205E-06 
         78360      4.490052051160e-08      4.414596399520e-08  6.092297852582E-02   1.090884760302E-08 
         78930      3.937369972310e-08      3.866828268950e-08  6.092299236318E-02  -2.201380014721E-06 
         79050      1.576907376761e-08      1.439359445898e-08  6.092296969646E-02  -7.549074387825E-08 
         79390      1.091748528641e-08      1.014121634468e-08  6.092297804354E-02  -2.969271446496E-07 
         79390      7.734998537949e-09      6.014366094465e-09  6.092297610114E-02  -2.529695142250E-07 
         78790      4.604841531605e-09      4.064600535358e-09  6.092297786446E-02  -1.465828303182E-08 
         78720      2.773116101104e-09      2.349091594983e-09  6.092297790693E-02  -1.067640011954E-07 
         77750      3.276604739337e-09      2.695880570070e-09  6.092298208454E-02  -3.005835487180E-07 
         78760      1.682899983424e-09      1.209765621446e-09  6.092297872850E-02  -5.157235172248E-08 
         78210      1.294042798304e-09      7.931634212158e-10  6.092297843652E-02  -7.700276416500E-09 
         78680      1.204852470592e-09      6.960421515514e-10  6.092297845447E-02  -2.357074113668E-08 
         78710      1.008848201250e-09      5.232576686307e-10  6.092297872886E-02  -1.902934743114E-08 
         78500      9.166725223148e-10      4.598148042351e-10  6.092297856092E-02  -1.762926293836E-08 
         78590      9.325917876234e-10      4.019386689388e-10  6.092297863300E-02  -1.293703033589E-08 
         78900      8.905696153705e-10      3.835715938713e-10  6.092297846808E-02  -1.524213688597E-08 
         78640      8.438779489087e-10      3.353095622219e-10  6.092297785042E-02  -6.244647465792E-09 
         78510      8.473550214836e-10      3.479279102192e-10  6.092297770904E-02  -2.672986276764E-09 
         78800      8.368817201268e-10      3.265376882683e-10  6.092297707345E-02   7.225611220463E-10 
         78490      8.423191751736e-10      3.660234231901e-10  6.092297662708E-02   7.390918987937E-10 
         78380      7.914613261934e-10      3.251827294255e-10  6.092297690803E-02  -2.793841158422E-09 
