%            DOF       Work Units            Error
    4.320000e+02     2.544784e-02     4.310859e-04
    6.210000e+02     7.772711e-02     4.342422e-05
    8.910000e+02     1.605411e-01     4.948294e-06
    1.269000e+03     2.785611e-01     2.312184e-06
    1.836000e+03     4.719211e-01     1.185562e-06
    2.646000e+03     7.648673e-01     5.666773e-07
    3.834000e+03     1.289480e+00     3.379181e-07
    5.535000e+03     2.118912e+00     1.995339e-07
    8.019000e+03     3.524291e+00     1.081758e-07
    1.161000e+04     5.701720e+00     5.750949e-08
    1.682100e+04     9.329214e+00     3.671421e-08
