%            DOF       Work Units       Drag-Error       Lift-Error
    4.670000e+03     7.876412e-02     1.470745e-03     6.327050e-04
    3.550000e+03     7.207123e-01     8.029905e-04     9.247258e-05
    2.660000e+03     1.551842e+00     5.097945e-04     2.111926e-04
    2.130000e+03     2.269291e+00     4.360573e-04     2.404343e-03
    2.220000e+03     2.736648e+00     1.701654e-04     1.464825e-03
    2.100000e+03     3.131690e+00     1.970877e-05     9.318522e-04
    2.220000e+03     3.521640e+00     8.968029e-05     7.812095e-04
    2.220000e+03     3.533670e+00     8.968029e-05     7.812095e-04
    3.210000e+03     3.984464e+00     7.254772e-05     1.206244e-04
    4.120000e+03     4.663283e+00     3.310842e-05     1.308627e-03
    4.130000e+03     5.445817e+00     2.485529e-05     1.885244e-04
    4.150000e+03     6.221011e+00     2.173105e-05     8.808542e-05
    4.260000e+03     7.030371e+00     8.669265e-06     8.291389e-05
    4.170000e+03     7.863135e+00     1.200442e-05     4.351981e-04
    4.170000e+03     7.885982e+00     1.200442e-05     4.351981e-04
    5.790000e+03     8.856361e+00     4.809564e-06     3.108035e-06
    7.660000e+03     1.019983e+01     4.096933e-06     3.993745e-05
    7.990000e+03     1.198156e+01     3.125300e-06     2.119575e-05
    8.080000e+03     1.380907e+01     3.513661e-06     1.209846e-04
    7.940000e+03     1.552498e+01     1.866510e-06     4.517688e-05
    8.220000e+03     1.734833e+01     1.013692e-06     6.165302e-06
    8.220000e+03     1.739267e+01     1.013692e-06     6.165302e-06
    1.261000e+04     1.982093e+01     9.898931e-07     1.131597e-05
    1.573000e+04     2.355184e+01     4.468703e-07     1.035301e-05
    1.598000e+04     2.819656e+01     2.952912e-07     3.587491e-06
    1.614000e+04     3.356143e+01     4.356166e-08     3.602692e-06
    1.617000e+04     3.986730e+01     7.514671e-08     1.463369e-06
    1.607000e+04     4.693266e+01     6.148129e-08     2.768184e-07
    1.607000e+04     4.701810e+01     6.148129e-08     2.768184e-07
    2.433000e+04     5.511891e+01     6.278647e-08     3.247683e-07
    3.124000e+04     6.880252e+01     3.961227e-08     5.427460e-07
    3.143000e+04     9.734137e+01     5.594381e-09     1.976776e-07
    3.183000e+04     1.328026e+02     2.072137e-08     4.272147e-08
    3.157000e+04     1.676206e+02     2.560679e-08     1.022440e-07
    3.155000e+04     2.012923e+02     1.223213e-08     2.730580e-07
