VARIABLES="N"	"C<sub>d</sub>"	"1/sqrt(DOF)"	"C<sub>d</sub> Error"	"Work Units"
ZONE T="Slope 2"
2145	1.31599365E-01	2.15916759E-02	9.69977452E-03	1.29E+05
8385	1.22343348E-01	1.09206494E-02	4.43757680E-04	3.49E+05
33153	1.21739497E-01	5.49210186E-03	1.60093936E-04	7.55E+06
66177	1.21776646E-01	3.88728571E-03	1.22944775E-04	4.06E+07

ZONE T="LiU SBP Quad P4"
2145	1.25035362E-01	2.15916759E-02	3.13577099E-03	8.20E+04
8385	1.20287631E-01	1.09206494E-02	1.61196015E-03	9.59E+05
33153	1.21466524E-01	5.49210186E-03	4.33066926E-04	5.90E+06
66177	1.21855945E-01	3.88728571E-03	4.36455310E-05	5.82E+07


ZONE T="CARDC DG Quad P1"
1537.8700499808	0.1412182756	0.0255	1.93186849E-02	104.586439
6200.0124000248	0.1290854044	0.0127	7.18581362E-03	384.714024

ZONE T="CARDC DG Quad P2"
3072.7479215933	0.1252510025	0.01804	3.35141176E-03	155.705168
12290.9916863732	0.1221761108	0.00902	2.76520063E-04	730.33

ZONE T="CARDC DG Quad P3"
5120.0182148785	0.1236788737	0.0139754	1.77928288E-03	330.128237
20478.3144479587	0.1220409008	0.006988	1.41310062E-04	2812.358134


ZONE T="UM DG Tri P1"
3072	1.38068401E-01	1.80421959E-02	1.61688100E-02	7.19443300E-02
12288	1.27072254E-01	9.02109796E-03	5.17266300E-03	3.82909800E-01
49152	1.23068283E-01	4.51054898E-03	1.16869200E-03	2.30012800E+00
196608	1.22137945E-01	2.25527449E-03	2.38354700E-04	2.41888500E+01

ZONE T="UM DG Tri P2"
6144	1.25270300E-01	1.27577591E-02	3.37070900E-03	2.62573500E-01
24576	1.22237311E-01	6.37887954E-03	3.37720300E-04	1.66327700E+00
98304	1.21915499E-01	3.18943977E-03	1.59078000E-05	1.43420000E+01
393216	1.21900302E-01	1.59471988E-03	7.10970600E-07	1.31393500E+02

ZONE T="UM DG Tri P3"
10240	1.22477897E-01	9.88211769E-03	5.78306100E-04	8.04550300E-01
40960	1.21916144E-01	4.94105884E-03	1.65536100E-05	4.92644200E+00
163840	1.21899703E-01	2.47052942E-03	1.11824300E-07	3.28666700E+01
655360	1.21899593E-01	1.23526471E-03	2.47099199E-09	2.49048900E+02


ZONE T="MIT DG Quad P1"
2048	0.140541512	2.20970869120796E-002	1.86414016E-02	0
8192	0.127307658	1.10485434560398E-002	5.40754759E-03	0
32768	0.1230793045	5.52427172801990E-003	1.17919405E-03	0
131072	0.1221534598	2.76213586400995E-003	2.53349368E-04	0
524288	0.121957664	1.38106793200498E-003	5.75535773E-05	0

