"nodes"   "h"            "CDrag"
2128      0.02167774923  1.305288095545036e-01
8352      0.01094220273  1.232830042372498e-01
33088     0.00549749371  1.220938459276504e-01
131712    0.00275541696  1.219205144428400e-01
525568    0.00137938513  1.219031762069553e-01

# Marshall's ref Drag: 0.1219001104
