VARIABLES="DOF", "Cd Error Indicator", "Cd Error Estimate", "Cd", "Cl"
ZONE T="P2 80k"
          2268      7.032494629114e-03     -4.712530064982e-03  5.747698505269E-02   3.201812908909E-03 
          3270      1.595942485784e-03     -5.103599060253e-04  6.102954773379E-02  -1.676501160033E-03 
          4464      2.783024707602e-04     -7.142705140894e-06  6.103998604251E-02  -2.076731149714E-04 
          6354      8.276028290780e-05      2.097158855799e-05  6.097839835720E-02   1.178469547115E-05 
          9000      2.540706689771e-05      8.798455314761e-06  6.094109974331E-02  -2.100329882517E-04 
         12828      9.992903588123e-06      3.288332374715e-06  6.093116988794E-02  -8.366724065834E-05 
         18066      4.842557843857e-06      2.999465301817e-06  6.092960921855E-02  -1.303259415310E-04 
         25782      2.102521059024e-06      1.600990233781e-06  6.092653377760E-02  -5.807292246418E-06 
         36792      1.389075097944e-06      1.194875930251e-06  6.092551614988E-02  -4.514064884331E-05 
         52644      6.770928602247e-07      4.599866072073e-07  6.092403156416E-02  -1.687674279660E-06 
         75948      3.909196603901e-07      3.069500023656e-07  6.092336565758E-02   1.328582985893E-05 
         78012      2.097392507088e-07      1.797044694877e-07  6.092315457915E-02  -2.500079500423E-06 
         78366      1.627697708391e-07      1.360743827549e-07  6.092311777184E-02   4.822384171987E-07 
         78564      1.101057381634e-07      7.705303211092e-08  6.092302599558E-02   1.565306498197E-06 
         78324      8.730783080990e-08      5.885687256133e-08  6.092302276873E-02  -1.358437788923E-07 
         78570      7.662071709408e-08      4.575120520995e-08  6.092301828474E-02   3.022259100760E-07 
         78276      7.519560374723e-08      4.138856414144e-08  6.092301592453E-02   4.473179826547E-07 
         78906      6.940638136918e-08      3.721387753824e-08  6.092301236710E-02   1.445514581366E-07 
         78504      6.779404333098e-08      3.749743150881e-08  6.092301573964E-02   4.245226392641E-11 
         78642      6.911715119474e-08      3.616254373701e-08  6.092301456868E-02  -6.481495073984E-08 
         78720      6.938031697738e-08      3.558614914125e-08  6.092301375048E-02  -1.164345846683E-07 
         79068      6.864606995291e-08      3.529872235786e-08  6.092301363900E-02   3.579641960627E-08 
         79410      6.700080509225e-08      3.311646707816e-08  6.092301159106E-02   6.922372364215E-08 
         78864      6.708463999400e-08      3.177780477880e-08  6.092301097210E-02  -4.393104147127E-08 
         79194      6.777505245940e-08      3.216755004485e-08  6.092301126266E-02   3.369205336945E-08 
         79350      6.592641610136e-08      3.157752345880e-08  6.092301075455E-02   1.917195424639E-08 
         79176      6.775648075669e-08      3.302097483695e-08  6.092301227487E-02  -1.147518355893E-07 
         79230      6.830461397814e-08      2.983164946450e-08  6.092300869491E-02   1.546013324027E-07 
         79152      6.656289686410e-08      3.124347418535e-08  6.092300994459E-02  -1.697857965333E-07 
         79212      6.839486536870e-08      3.236972180413e-08  6.092301123472E-02   7.156109038675E-08 
         79206      6.679413968733e-08      3.530161650932e-08  6.092301394481E-02  -1.474688733349E-07 
